onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.66699	0	128	ᚬ	128	0	NaN	NaN	NaN
6.85449	0.2	1	᭬	1	1	NaN	NaN	NaN
6.90723	0	128	ᮢ	128	1	NaN	NaN	NaN
7.82129	0.05	11	Ὂ	11	1	0.0428401	0	NaN
7.86035	0	128	ὲ	128	1	NaN	NaN	NaN
8.63867	0	125	⊏	125	1	NaN	NaN	NaN
10.2002	0.2	2	⣎	2	2	NaN	NaN	NaN
10.2529	0	128	⤄	128	2	NaN	NaN	NaN
11.167	0.05	22	Ⲭ	22	2	0.0304593	0	NaN
11.2061	0	128	Ⳕ	128	2	NaN	NaN	NaN
11.9092	0	125	⾤	125	2	NaN	NaN	NaN
13.2783	0.2	1	㔞	1	3	NaN	NaN	NaN
13.3311	0	128	㕔	128	3	NaN	NaN	NaN
14.0107	0.05	12	㠌	12	3	0.0429739	0	NaN
14.0498	0	128	㠴	128	3	NaN	NaN	NaN
14.9424	0	125	㯆	125	3	NaN	NaN	NaN
16.2051	0.2	2	䃓	2	4	NaN	NaN	NaN
16.2578	0	128	䄉	128	4	NaN	NaN	NaN
17.1553	0.05	22	䒠	22	4	0.0276088	0	NaN
17.1943	0	128	䓈	128	4	NaN	NaN	NaN
17.9365	0	125	䟀	125	4	NaN	NaN	NaN
19.2168	0.2	2	䳟	2	5	NaN	NaN	NaN
19.2695	0	128	䴕	128	5	NaN	NaN	NaN
19.9658	0.05	22	俞	22	5	0.0296731	0	NaN
20.0049	0	128	倆	128	5	NaN	NaN	NaN
20.8145	0	125	千	125	5	NaN	NaN	NaN
21.9941	0.2	2	埻	2	6	NaN	NaN	NaN
22.0469	0	128	報	128	6	NaN	NaN	NaN
22.71	0.05	22	嫘	22	6	0.0297055	0	2
22.749	0	128	嬀	128	6	NaN	NaN	NaN
23.6299	0	125	庆	125	6	NaN	NaN	NaN
24.5508	0	122	戵	122	6	NaN	NaN	NaN
26.0078	0.2	1	栉	1	7	NaN	NaN	NaN
26.0615	0	128	桀	128	7	NaN	NaN	NaN
26.9756	0.05	12	毨	12	7	0.0436307	0	NaN
27.0146	0	128	氐	128	7	NaN	NaN	NaN
27.9014	0	125	澜	125	7	NaN	NaN	NaN
29.4551	0.2	2	痓	2	8	NaN	NaN	NaN
29.5078	0	128	瘉	128	8	NaN	NaN	NaN
30.3877	0.05	21	禎	21	8	0.0306473	1	NaN
30.4268	0	128	禶	128	8	NaN	NaN	NaN
31.4102	0	124	綥	124	8	NaN	NaN	NaN
32.8008	0.2	1	茵	1	9	NaN	NaN	NaN
32.8535	0	128	荫	128	9	NaN	NaN	NaN
33.5332	0.05	11	蘣	11	9	0.0441853	1	NaN
33.5723	0	128	虋	128	9	NaN	NaN	NaN
34.3945	0	124	覕	124	9	NaN	NaN	NaN
35.8457	0.2	1	轣	1	10	NaN	NaN	NaN
35.8975	0	128	辘	128	10	NaN	NaN	NaN
36.7451	0.05	11	鋼	11	10	0.0418377	1	NaN
36.7842	0	128	錤	128	10	NaN	NaN	NaN
37.5908	0	124	陞	124	10	NaN	NaN	NaN
38.8906	0.2	1	鮑	1	11	NaN	NaN	NaN
38.9424	0	128	鯆	128	11	NaN	NaN	NaN
39.7061	0.05	11	黔	11	11	0.0433321	1	NaN
39.7451	0	128	黼	128	11	NaN	NaN	NaN
40.542	0	124	ꈬ	124	11	NaN	NaN	NaN
41.7842	0.2	2	Ꜥ	2	12	NaN	NaN	NaN
41.8369	0	128	Ꝛ	128	12	NaN	NaN	NaN
42.7344	0.05	22	꫱	22	12	0.0302016	0	NaN
42.7734	0	128	꬙	128	12	NaN	NaN	NaN
43.583	0	125	깖	125	12	NaN	NaN	NaN
44.8447	0.2	2	덢	2	13	NaN	NaN	NaN
44.8984	0	128	뎙	128	13	NaN	NaN	NaN
45.7949	0.05	22	뜯	22	13	0.031187	0	NaN
45.834	0	128	띗	128	13	NaN	NaN	NaN
46.46	0	125	맘	125	13	NaN	NaN	NaN
47.8564	0.2	2	뽮	2	14	NaN	NaN	NaN
47.9092	0	128	뾤	128	14	NaN	NaN	NaN
48.8398	0.05	22	썝	22	14	0.0315916	1	NaN
48.8789	0	128	쎅	128	14	NaN	NaN	NaN
49.5205	0	124	옖	124	14	NaN	NaN	NaN
51.002	0.2	2	찃	2	15	NaN	NaN	NaN
51.0547	0	128	찹	128	15	NaN	NaN	NaN
51.8516	0.05	22	콩	22	15	0.0294398	0	NaN
51.8906	0	128	쾑	128	15	NaN	NaN	NaN
52.7744	0	125	팚	125	15	NaN	NaN	NaN
54.0303	0.2	1	�	1	16	NaN	NaN	NaN
54.082	0	128	�	128	16	NaN	NaN	NaN
54.8623	0.05	11	�	11	16	0.041384	0	NaN
54.9014	0	128	�	128	16	NaN	NaN	NaN
56.1855	0	125		125	16	NaN	NaN	NaN
57.459	0.2	2		2	17	NaN	NaN	NaN
57.5117	0	128		128	17	NaN	NaN	NaN
58.3418	0.05	21		21	17	0.0317809	0	NaN
58.3809	0	128		128	17	NaN	NaN	NaN
59.2783	0	125		125	17	NaN	NaN	NaN
60.6377	0.2	1		1	18	NaN	NaN	NaN
60.6904	0	128		128	18	NaN	NaN	NaN
61.6211	0.05	11		11	18	0.040871	0	NaN
61.6602	0	128		128	18	NaN	NaN	NaN
62.6309	0	125	慎	125	18	NaN	NaN	NaN
64.0674	0.2	2	6.560600e+04	2	19	NaN	NaN	NaN
64.1191	0	128	6.565900e+04	128	19	NaN	NaN	NaN
65.0166	0.05	21	6.657800e+04	21	19	0.0311809	0	NaN
65.0557	0	128	6.661800e+04	128	19	NaN	NaN	NaN
66.0918	0	125	6.767900e+04	125	19	NaN	NaN	NaN
67.3623	0.2	2	6.898000e+04	2	20	NaN	NaN	NaN
67.415	0	128	6.903400e+04	128	20	NaN	NaN	NaN
68.3291	0.05	22	6.997000e+04	22	20	0.0326627	0	NaN
68.3682	0	128	7.001000e+04	128	20	NaN	NaN	NaN
69.1943	0	125	7.085600e+04	125	20	NaN	NaN	NaN
