onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
7.23633	0.05	21	ᳳ	21	1	0.0297932	1	1
7.30957	0	128	ᴾ	128	1	NaN	NaN	NaN
8.02539	0	124	‛	124	1	NaN	NaN	NaN
9.81836	0	121	❇	121	1	NaN	NaN	NaN
11.2842	0.05	22	ⴤ	22	2	0.0296169	1	NaN
11.3408	0	128	ⵞ	128	2	NaN	NaN	NaN
11.9873	0	124	⿴	124	2	NaN	NaN	NaN
13.3584	0.05	22	㕰	22	3	0.0285294	0	NaN
13.415	0	128	㖪	128	3	NaN	NaN	NaN
14.0947	0	125	㡢	125	3	NaN	NaN	NaN
15.4824	0	31	㷯	31	4	NaN	0	NaN
15.54	0	128	㸪	128	4	NaN	NaN	NaN
16.5869	0	125	䉚	125	4	NaN	NaN	NaN
17.9922	0.05	21	䟹	21	5	0.0289781	1	NaN
18.0322	0	128	䠢	128	5	NaN	NaN	NaN
18.9053	0	124	䮠	124	5	NaN	NaN	NaN
20.2666	0.05	12	儒	12	6	0.02309	0	NaN
20.3076	0	128	儼	128	6	NaN	NaN	NaN
21.665	0	125	嚪	125	6	NaN	NaN	NaN
22.9102	0.05	21	宥	21	7	0.0285962	1	1
22.9502	0	128	寎	128	7	NaN	NaN	NaN
23.6992	0	124	廍	124	7	NaN	NaN	NaN
24.7734	0	121	挙	121	7	NaN	NaN	NaN
26.1553	0.05	22	梠	22	8	0.0268466	0	NaN
26.1953	0	128	棉	128	8	NaN	NaN	NaN
27.1045	0	125	汬	125	8	NaN	NaN	NaN
28.6982	0.05	11	狌	11	9	0.0239289	0	NaN
28.7383	0	128	狵	128	9	NaN	NaN	NaN
29.5703	0	125	癉	125	9	NaN	NaN	NaN
30.9902	0.05	12	篷	12	10	0.0241917	0	NaN
31.0303	0	128	簠	128	10	NaN	NaN	NaN
32.2041	0	125	胒	125	10	NaN	NaN	NaN
33.6162	0.05	22	虸	22	11	0.0296863	1	NaN
33.6562	0	128	蚡	128	11	NaN	NaN	NaN
34.501	0	124	訂	124	11	NaN	NaN	NaN
35.8252	0.05	22	轎	22	12	0.0307073	1	NaN
35.8652	0	128	轷	128	12	NaN	NaN	NaN
36.6328	0	124	銉	124	12	NaN	NaN	NaN
38.2344	0.05	21	飱	21	13	0.0275365	0	NaN
38.2734	0	128	餙	128	13	NaN	NaN	NaN
38.998	0	125	鯿	125	13	NaN	NaN	NaN
40.3418	0	31	ꅟ	31	14	NaN	0	NaN
40.3984	0	128	ꆙ	128	14	NaN	NaN	NaN
41.1895	0	125	꓃	125	14	NaN	NaN	NaN
42.7002	0.05	22	꫎	22	15	0.0283432	0	NaN
42.7402	0	128	꫷	128	15	NaN	NaN	NaN
43.5801	0	125	깓	125	15	NaN	NaN	NaN
44.8584	0.05	11	데	11	16	0.0243754	1	NaN
44.915	0	128	뎪	128	16	NaN	NaN	NaN
45.6621	0	124	뚧	124	16	NaN	NaN	NaN
47.2676	0.05	21	봓	21	17	0.0277971	0	NaN
47.3076	0	128	봼	128	17	NaN	NaN	NaN
48.1396	0	125	삐	125	17	NaN	NaN	NaN
49.5254	0.05	12	옛	12	18	0.0240335	0	NaN
49.5654	0	128	완	128	18	NaN	NaN	NaN
50.5312	0	125	쨡	125	18	NaN	NaN	NaN
51.9346	0.05	22	쾾	22	19	0.0281802	0	NaN
51.9746	0	128	쿧	128	19	NaN	NaN	NaN
53.1289	0	125	풅	125	19	NaN	NaN	NaN
54.6787	0.05	22	�	22	20	0.0303505	1	2
54.7354	0	128	�	128	20	NaN	NaN	NaN
55.4111	0	124	�	124	20	NaN	NaN	NaN
56.5439	0	122		122	20	NaN	NaN	NaN
57.7734	0.05	21		21	21	0.0341913	0	NaN
57.8135	0	128		128	21	NaN	NaN	NaN
58.958	0	125		125	21	NaN	NaN	NaN
60.249	0.05	12		12	22	0.0263221	1	NaN
60.2891	0	128		128	22	NaN	NaN	NaN
61.083	0	124		124	22	NaN	NaN	NaN
62.5576	0.05	21	屮	21	23	0.0303065	0	NaN
62.5977	0	128	贈	128	23	NaN	NaN	NaN
63.5303	0	125	︠	125	23	NaN	NaN	NaN
64.8154	0.05	12	6.637200e+04	12	24	0.0266037	0	NaN
64.8555	0	128	6.641300e+04	128	24	NaN	NaN	NaN
65.7383	0	125	6.731700e+04	125	24	NaN	NaN	NaN
67.3086	0.05	22	6.892500e+04	22	25	0.0321358	0	NaN
67.3486	0	128	6.896600e+04	128	25	NaN	NaN	NaN
68.2764	0	125	6.991600e+04	125	25	NaN	NaN	NaN
69.6836	0.05	11	7.135700e+04	11	26	0.0276804	1	NaN
69.7236	0	128	7.139800e+04	128	26	NaN	NaN	NaN
71	0	124	7.270500e+04	124	26	NaN	NaN	NaN
72.2607	0.05	21	7.399600e+04	21	27	0.0332495	0	NaN
72.3174	0	128	7.405400e+04	128	27	NaN	NaN	NaN
73.3896	0	125	7.515200e+04	125	27	NaN	NaN	NaN
74.7021	0.05	11	7.649600e+04	11	28	0.0242478	0	NaN
74.7422	0	128	7.653700e+04	128	28	NaN	NaN	NaN
75.4111	0	125	7.722200e+04	125	28	NaN	NaN	NaN
76.71	0.05	12	7.855200e+04	12	29	0.0254809	1	NaN
76.75	0	128	7.859300e+04	128	29	NaN	NaN	NaN
78.1074	0	124	7.998300e+04	124	29	NaN	NaN	NaN
79.5879	0.05	22	8.149900e+04	22	30	0.0340159	1	NaN
79.6279	0	128	8.154000e+04	128	30	NaN	NaN	NaN
80.3564	0	124	8.228600e+04	124	30	NaN	NaN	NaN
81.7959	0.05	11	8.376000e+04	11	31	0.0264577	0	NaN
81.8359	0	128	8.380100e+04	128	31	NaN	NaN	NaN
82.5889	0	125	8.457200e+04	125	31	NaN	NaN	NaN
84.1377	0.05	21	8.615800e+04	21	32	0.0361394	1	NaN
84.1943	0	128	8.621600e+04	128	32	NaN	NaN	NaN
84.9023	0	124	8.694100e+04	124	32	NaN	NaN	NaN
86.1289	0.05	21	8.819700e+04	21	33	0.0329192	0	NaN
86.168	0	128	8.823700e+04	128	33	NaN	NaN	NaN
87.1064	0	125	8.919800e+04	125	33	NaN	NaN	NaN
88.7041	0.05	22	9.083400e+04	22	34	0.0336904	0	1
88.7451	0	128	9.087600e+04	128	34	NaN	NaN	NaN
89.7051	0	125	9.185900e+04	125	34	NaN	NaN	NaN
91.1113	0	121	9.329900e+04	121	34	NaN	NaN	NaN
92.6191	0.05	21	9.484300e+04	21	35	0.0342566	0	NaN
92.6758	0	128	9.490100e+04	128	35	NaN	NaN	NaN
93.916	0	125	9.617100e+04	125	35	NaN	NaN	NaN
95.3457	0.05	22	9.763500e+04	22	36	0.0369488	1	NaN
95.3857	0	128	9.767600e+04	128	36	NaN	NaN	NaN
96.335	0	124	9.864800e+04	124	36	NaN	NaN	NaN
97.5703	0	32	9.991300e+04	32	37	NaN	0	NaN
97.6113	0	128	9.995500e+04	128	37	NaN	NaN	NaN
98.8096	0	125	1.011820e+05	125	37	NaN	NaN	NaN
100.247	0.05	12	1.026540e+05	12	38	0.0245325	0	NaN
100.287	0	128	1.026950e+05	128	38	NaN	NaN	NaN
101.355	0	125	1.037890e+05	125	38	NaN	NaN	NaN
102.891	0.05	12	1.053610e+05	12	39	0.0262179	0	NaN
102.931	0	128	1.054020e+05	128	39	NaN	NaN	NaN
105.65	0	125	1.081870e+05	125	39	NaN	NaN	NaN
107.224	0.05	12	1.097980e+05	12	40	0.0285542	1	NaN
107.28	0	128	1.098560e+05	128	40	NaN	NaN	NaN
108.059	0	124	1.106530e+05	124	40	NaN	NaN	NaN
109.599	0.05	22	1.122300e+05	22	41	0.0344574	1	NaN
